Short_Name,Full_Name
B00001e1,UNWEIGHTED SAMPLE COUNT OF THE POPULATION:  Total Population -- (Estimate)
B00001m1,UNWEIGHTED SAMPLE COUNT OF THE POPULATION:  Total Population -- (Margin of Error)
B00002e1,UNWEIGHTED SAMPLE HOUSING UNITS:  Total:   Housing Units -- (Estimate)
B00002m1,UNWEIGHTED SAMPLE HOUSING UNITS:  Total:   Housing Units -- (Margin of Error)
B01001e1,Total:   Total Population -- (Estimate)
B01001m1,Total:   Total Population -- (Margin of Error)
B01001e2,Male:   Total Population -- (Estimate)
B01001m2,Male:   Total Population -- (Margin of Error)
B01001e3,Male:  Under 5 years:   Total Population -- (Estimate)
B01001m3,Male:  Under 5 years:   Total Population -- (Margin of Error)
B01001e4,Male:  5 to 9 years:   Total Population -- (Estimate)
B01001m4,Male:  5 to 9 years:   Total Population -- (Margin of Error)
B01001e5,Male:  10 to 14 years:   Total Population -- (Estimate)
B01001m5,Male:  10 to 14 years:   Total Population -- (Margin of Error)
B01001e6,Male:  15 to 17 years:   Total Population -- (Estimate)
B01001m6,Male:  15 to 17 years:   Total Population -- (Margin of Error)
B01001e7,Male:  18 and 19 years:   Total Population -- (Estimate)
B01001m7,Male:  18 and 19 years:   Total Population -- (Margin of Error)
B01001e8,Male:  20 years:   Total Population -- (Estimate)
B01001m8,Male:  20 years:   Total Population -- (Margin of Error)
B01001e9,Male:  21 years:   Total Population -- (Estimate)
B01001m9,Male:  21 years:   Total Population -- (Margin of Error)
B01001e10,Male:  22 to 24 years:   Total Population -- (Estimate)
B01001m10,Male:  22 to 24 years:   Total Population -- (Margin of Error)
B01001e11,Male:  25 to 29 years:   Total Population -- (Estimate)
B01001m11,Male:  25 to 29 years:   Total Population -- (Margin of Error)
B01001e12,Male:  30 to 34 years:   Total Population -- (Estimate)
B01001m12,Male:  30 to 34 years:   Total Population -- (Margin of Error)
B01001e13,Male:  35 to 39 years:   Total Population -- (Estimate)
B01001m13,Male:  35 to 39 years:   Total Population -- (Margin of Error)
B01001e14,Male:  40 to 44 years:   Total Population -- (Estimate)
B01001m14,Male:  40 to 44 years:   Total Population -- (Margin of Error)
B01001e15,Male:  45 to 49 years:   Total Population -- (Estimate)
B01001m15,Male:  45 to 49 years:   Total Population -- (Margin of Error)
B01001e16,Male:  50 to 54 years:   Total Population -- (Estimate)
B01001m16,Male:  50 to 54 years:   Total Population -- (Margin of Error)
B01001e17,Male:  55 to 59 years:   Total Population -- (Estimate)
B01001m17,Male:  55 to 59 years:   Total Population -- (Margin of Error)
B01001e18,Male:  60 and 61 years:   Total Population -- (Estimate)
B01001m18,Male:  60 and 61 years:   Total Population -- (Margin of Error)
B01001e19,Male:  62 to 64 years:   Total Population -- (Estimate)
B01001m19,Male:  62 to 64 years:   Total Population -- (Margin of Error)
B01001e20,Male:  65 and 66 years:   Total Population -- (Estimate)
B01001m20,Male:  65 and 66 years:   Total Population -- (Margin of Error)
B01001e21,Male:  67 to 69 years:   Total Population -- (Estimate)
B01001m21,Male:  67 to 69 years:   Total Population -- (Margin of Error)
B01001e22,Male:  70 to 74 years:   Total Population -- (Estimate)
B01001m22,Male:  70 to 74 years:   Total Population -- (Margin of Error)
B01001e23,Male:  75 to 79 years:   Total Population -- (Estimate)
B01001m23,Male:  75 to 79 years:   Total Population -- (Margin of Error)
B01001e24,Male:  80 to 84 years:   Total Population -- (Estimate)
B01001m24,Male:  80 to 84 years:   Total Population -- (Margin of Error)
B01001e25,Male:  85 years and over:   Total Population -- (Estimate)
B01001m25,Male:  85 years and over:   Total Population -- (Margin of Error)
B01001e26,Female:   Total Population -- (Estimate)
B01001m26,Female:   Total Population -- (Margin of Error)
B01001e27,Female:  Under 5 years:   Total Population -- (Estimate)
B01001m27,Female:  Under 5 years:   Total Population -- (Margin of Error)
B01001e28,Female:  5 to 9 years:   Total Population -- (Estimate)
B01001m28,Female:  5 to 9 years:   Total Population -- (Margin of Error)
B01001e29,Female:  10 to 14 years:   Total Population -- (Estimate)
B01001m29,Female:  10 to 14 years:   Total Population -- (Margin of Error)
B01001e30,Female:  15 to 17 years:   Total Population -- (Estimate)
B01001m30,Female:  15 to 17 years:   Total Population -- (Margin of Error)
B01001e31,Female:  18 and 19 years:   Total Population -- (Estimate)
B01001m31,Female:  18 and 19 years:   Total Population -- (Margin of Error)
B01001e32,Female:  20 years:   Total Population -- (Estimate)
B01001m32,Female:  20 years:   Total Population -- (Margin of Error)
B01001e33,Female:  21 years:   Total Population -- (Estimate)
B01001m33,Female:  21 years:   Total Population -- (Margin of Error)
B01001e34,Female:  22 to 24 years:   Total Population -- (Estimate)
B01001m34,Female:  22 to 24 years:   Total Population -- (Margin of Error)
B01001e35,Female:  25 to 29 years:   Total Population -- (Estimate)
B01001m35,Female:  25 to 29 years:   Total Population -- (Margin of Error)
B01001e36,Female:  30 to 34 years:   Total Population -- (Estimate)
B01001m36,Female:  30 to 34 years:   Total Population -- (Margin of Error)
B01001e37,Female:  35 to 39 years:   Total Population -- (Estimate)
B01001m37,Female:  35 to 39 years:   Total Population -- (Margin of Error)
B01001e38,Female:  40 to 44 years:   Total Population -- (Estimate)
B01001m38,Female:  40 to 44 years:   Total Population -- (Margin of Error)
B01001e39,Female:  45 to 49 years:   Total Population -- (Estimate)
B01001m39,Female:  45 to 49 years:   Total Population -- (Margin of Error)
B01001e40,Female:  50 to 54 years:   Total Population -- (Estimate)
B01001m40,Female:  50 to 54 years:   Total Population -- (Margin of Error)
B01001e41,Female:  55 to 59 years:   Total Population -- (Estimate)
B01001m41,Female:  55 to 59 years:   Total Population -- (Margin of Error)
B01001e42,Female:  60 and 61 years:   Total Population -- (Estimate)
B01001m42,Female:  60 and 61 years:   Total Population -- (Margin of Error)
B01001e43,Female:  62 to 64 years:   Total Population -- (Estimate)
B01001m43,Female:  62 to 64 years:   Total Population -- (Margin of Error)
B01001e44,Female:  65 and 66 years:   Total Population -- (Estimate)
B01001m44,Female:  65 and 66 years:   Total Population -- (Margin of Error)
B01001e45,Female:  67 to 69 years:   Total Population -- (Estimate)
B01001m45,Female:  67 to 69 years:   Total Population -- (Margin of Error)
B01001e46,Female:  70 to 74 years:   Total Population -- (Estimate)
B01001m46,Female:  70 to 74 years:   Total Population -- (Margin of Error)
B01001e47,Female:  75 to 79 years:   Total Population -- (Estimate)
B01001m47,Female:  75 to 79 years:   Total Population -- (Margin of Error)
B01001e48,Female:  80 to 84 years:   Total Population -- (Estimate)
B01001m48,Female:  80 to 84 years:   Total Population -- (Margin of Error)
B01001e49,Female:  85 years and over:   Total Population -- (Estimate)
B01001m49,Female:  85 years and over:   Total Population -- (Margin of Error)
B01002e1,Median age:  Total:   Total population -- (Estimate)
B01002m1,Median age:  Total:   Total population -- (Margin of Error)
B01002e2,Median age:  Male:   Total population -- (Estimate)
B01002m2,Median age:  Male:   Total population -- (Margin of Error)
B01002e3,Median age:  Female:   Total population -- (Estimate)
B01002m3,Median age:  Female:   Total population -- (Margin of Error)
B01003e1,Total:   Total population -- (Estimate)
B01003m1,Total:   Total population -- (Margin of Error)
B02001e1,Total:   Total population -- (Estimate)
B02001m1,Total:   Total population -- (Margin of Error)
B02001e2,White alone:   Total population -- (Estimate)
B02001m2,White alone:   Total population -- (Margin of Error)
B02001e3,Black or African American alone:   Total population -- (Estimate)
B02001m3,Black or African American alone:   Total population -- (Margin of Error)
B02001e4,American Indian and Alaska Native alone:   Total population -- (Estimate)
B02001m4,American Indian and Alaska Native alone:   Total population -- (Margin of Error)
