obsid,siteid,plot,date_sampled,sciname ,diameter,condition
1,1,A,6/13/11,Abies lasiocarpa,30.48,normal
2,1,A,6/13/11,Picea engelmannii,2.54,dry
3,1,A,6/13/11,Picea engelmannii,5.08,dry
4,1,A,6/13/11,Picea engelmannii,7.62,dry
5,1,A,6/13/11,Picea engelmannii,10.16,dry
6,1,A,6/13/11,Picea engelmannii,12.7,normal
7,1,A,6/13/11,Picea engelmannii,17.78,normal
8,1,A,6/13/11,Picea engelmannii,22.86,dry
9,1,A,6/13/11,Picea engelmannii,27.94,normal
10,1,A,6/13/11,Picea engelmannii,30.48,dry
11,1,A,6/13/11,Picea engelmannii,35.56,dry
12,1,A,6/13/11,Picea engelmannii,58.42,normal
13,1,A,6/13/11,Sambucus racemosa,0.635,dry
14,1,A,6/13/11,Pseudotsuga menziesii,0.635,dry
15,1,A,6/13/11,Pseudotsuga menziesii,12.7,normal
16,1,A,6/13/11,Pseudotsuga menziesii,17.78,normal
17,1,A,6/13/11,Pseudotsuga menziesii,45.72,dry
18,1,A,6/13/11,Jamesia americana,0.635,dry
19,1,A,6/13/11,Abies lasiocarpa,0.635,normal
20,1,A,6/13/11,Abies lasiocarpa,2.54,dry
21,1,A,6/13/11,Abies lasiocarpa,5.08,normal
22,1,A,6/13/11,Abies lasiocarpa,7.62,dry
23,1,A,6/13/11,Abies lasiocarpa,10.16,dry
24,1,A,6/13/11,Abies lasiocarpa,12.7,normal
25,1,A,6/13/11,Abies lasiocarpa,17.78,normal
26,1,A,6/13/11,Abies lasiocarpa,15.24,dry
27,1,A,6/13/11,Abies lasiocarpa,20.32,dry
28,1,A,6/13/11,Abies lasiocarpa,22.86,normal
29,1,A,6/13/11,Abies lasiocarpa,25.4,dry
30,1,A,6/13/11,Abies lasiocarpa,27.94,normal
31,1,A,6/13/11,Picea engelmannii,26.2,dry
32,1,A,6/10/12,Abies lasiocarpa,30.48,normal
33,1,A,6/10/12,Picea engelmannii,2.54,dry
34,1,A,6/10/12,Picea engelmannii,5.08,dry
35,1,A,6/10/12,Picea engelmannii,45.72,dry
36,1,A,6/10/12,Picea engelmannii,0.635,dry
37,1,A,6/10/12,Picea engelmannii,0.635,normal
38,1,A,6/10/12,Picea engelmannii,2.54,normal
39,1,A,6/10/12,Picea engelmannii,5.08,dry
40,1,A,6/10/12,Picea engelmannii,7.62,dry
41,1,A,6/10/12,Picea engelmannii,10.16,normal
42,1,A,6/10/12,Picea engelmannii,12.7,normal
43,1,A,6/10/12,Picea engelmannii,17.78,dry
44,1,A,6/10/12,Sambucus racemosa,15.24,dry
45,1,A,6/10/12,Pseudotsuga menziesii,45.72,normal
46,1,A,6/10/12,Pseudotsuga menziesii,0.635,dry
47,1,A,6/10/12,Pseudotsuga menziesii,0.635,normal
48,1,A,6/10/12,Pseudotsuga menziesii,2.54,dry
49,1,A,6/10/12,Jamesia americana,5.08,dry
50,1,A,6/10/12,Abies lasiocarpa,7.62,normal
51,1,A,6/10/12,Abies lasiocarpa,10.16,dry
52,1,A,6/10/12,Abies lasiocarpa,12.7,normal
53,1,A,6/10/12,Abies lasiocarpa,17.78,dry
54,1,A,6/10/12,Abies lasiocarpa,15.24,dry
55,1,A,6/10/12,Abies lasiocarpa,20.32,normal
56,1,A,6/10/12,Abies lasiocarpa,22.86,normal
57,1,A,6/10/12,Abies lasiocarpa,25.4,dry
58,1,A,6/10/12,Abies lasiocarpa,27.94,dry
59,1,A,6/10/12,Abies lasiocarpa,26.2,normal
60,1,A,6/10/12,Abies lasiocarpa,25.4,dry
61,1,A,6/10/12,Abies lasiocarpa,27.94,normal
62,1,A,6/10/12,Picea engelmannii,26.2,dry
63,1,B,6/13/11,Abies lasiocarpa,30.48,normal
64,1,B,6/13/11,Picea engelmannii,2.54,dry
65,1,B,6/13/11,Picea engelmannii,5.08,dry
66,1,B,6/13/11,Picea engelmannii,7.62,dry
67,1,B,6/13/11,Picea engelmannii,10.16,dry
68,1,B,6/13/11,Picea engelmannii,12.7,normal
69,1,B,6/13/11,Picea engelmannii,17.78,normal
70,1,B,6/13/11,Picea engelmannii,22.86,dry
71,1,B,6/13/11,Picea engelmannii,27.94,normal
72,1,B,6/13/11,Picea engelmannii,30.48,dry
73,1,B,6/13/11,Picea engelmannii,35.56,dry
74,1,B,6/13/11,Picea engelmannii,58.42,normal
75,1,B,6/13/11,Sambucus racemosa,0.635,dry
76,1,B,6/13/11,Pseudotsuga menziesii,0.635,dry
77,1,B,6/13/11,Pseudotsuga menziesii,12.7,normal
78,1,B,6/13/11,Pseudotsuga menziesii,17.78,normal
